ENSEMBL	SYMBOL
ENSMUSG00000057836	Xlr3a
ENSMUSG00000035910	Dcdc2a
ENSMUSG00000058443	Rpl10-ps3
ENSMUSG00000029093	Sorcs2
ENSMUSG00000013089	Etv5
ENSMUSG00000038489	Polr2l
ENSMUSG00000020593	Lpin1
ENSMUSG00000038331	Satb2
ENSMUSG00000030935	Acsm3
ENSMUSG00000027513	Pck1
ENSMUSG00000021453	Gadd45g
ENSMUSG00000064360	mt-Nd3
ENSMUSG00000015090	Ptgds
ENSMUSG00000064337	NA
ENSMUSG00000042379	Esm1
ENSMUSG00000058672	Tubb2a
ENSMUSG00000097324	NA
ENSMUSG00000026202	Tuba4a
ENSMUSG00000085541	NA
ENSMUSG00000020427	Igfbp3
ENSMUSG00000030109	Slc6a12
ENSMUSG00000107304	NA
ENSMUSG00000047793	Sned1
ENSMUSG00000055415	Atp10b
ENSMUSG00000064513	Snora9
ENSMUSG00000039463	Slc9a8
ENSMUSG00000105096	Gbp10
ENSMUSG00000027750	Postn
ENSMUSG00000086859	Snhg20
ENSMUSG00000026725	Tnn
ENSMUSG00000036862	Dchs1
ENSMUSG00000077563	NA
ENSMUSG00000064358	mt-Co3
ENSMUSG00000079465	Col4a3
ENSMUSG00000032719	Sbspon
ENSMUSG00000030546	Plin1
ENSMUSG00000025511	Tspan4
ENSMUSG00000043168	4930426D05Rik
ENSMUSG00000040808	S100g
ENSMUSG00000047907	Tshz2
ENSMUSG00000060093	H4c1
ENSMUSG00000107390	NA
ENSMUSG00000121783	Gpx4-ps2
ENSMUSG00000020653	Klf11
ENSMUSG00000044254	Pcsk9
ENSMUSG00000022508	Bcl6
ENSMUSG00000040488	Ltbp4
ENSMUSG00000020538	Srebf1
ENSMUSG00000005220	Corin
ENSMUSG00000034634	Ly6d
ENSMUSG00000022679	Mpv17l
ENSMUSG00000053846	Lipg
ENSMUSG00000038418	Egr1
ENSMUSG00000044674	Fzd1
ENSMUSG00000106107	NA
ENSMUSG00000093701	NA
ENSMUSG00000028364	Tnc
ENSMUSG00000089255	Snora78
ENSMUSG00000031549	Ido2
ENSMUSG00000069874	Irgm2
ENSMUSG00000088008	Gm25492
ENSMUSG00000046352	Gjb2
ENSMUSG00000028763	Hspg2
ENSMUSG00000089694	Nat8f7
ENSMUSG00000057137	Tmem140
ENSMUSG00000091345	Col6a5
ENSMUSG00000027533	Fabp5
ENSMUSG00000063011	Msln
ENSMUSG00000027360	Hdc
ENSMUSG00000030862	Cpxm2
ENSMUSG00000065304	Gm23245
ENSMUSG00000039221	Rpl22l1
ENSMUSG00000026971	Itgb6
ENSMUSG00002074875	NA
ENSMUSG00000087968	Gm25395
ENSMUSG00000027322	Siglec1
ENSMUSG00000066366	Serpina1a
ENSMUSG00000001349	Cnn1
ENSMUSG00000026930	Gpsm1
ENSMUSG00000039519	Cyp7b1
ENSMUSG00000030064	Frmd4b
ENSMUSG00000084106	Gm6136
ENSMUSG00000074445	Sprr2a3
ENSMUSG00000027559	Car3
ENSMUSG00000021565	Slc6a19
ENSMUSG00000040860	Crocc
ENSMUSG00002074853	Scarna3a
ENSMUSG00000030157	Clec2d
ENSMUSG00000089774	Slc5a3
ENSMUSG00000110928	NA
ENSMUSG00000034371	Tkfc
ENSMUSG00000034825	Nrip3
ENSMUSG00000032578	Cish
ENSMUSG00000021876	Rnase4
ENSMUSG00000032350	Gclc
ENSMUSG00000051262	Nat8f3
ENSMUSG00000064853	Gm23442
ENSMUSG00000118815	Gm22068
ENSMUSG00000065176	Rnu12
ENSMUSG00000031004	Mki67
ENSMUSG00000066170	NA
ENSMUSG00000078664	Sprr2a1
ENSMUSG00000039710	Slc7a12
ENSMUSG00000020062	Slc5a8
ENSMUSG00000055827	Gsdmc3
ENSMUSG00000032902	Slc16a1
ENSMUSG00000036602	Alx1
ENSMUSG00000037563	Rps16
ENSMUSG00002076601	Scarna13
ENSMUSG00000032218	Ccnb2
ENSMUSG00000064339	NA
ENSMUSG00000051811	Cox6b2
ENSMUSG00000052565	H1f3
ENSMUSG00000079553	Kifc1
ENSMUSG00000022123	Scel
ENSMUSG00000030111	A2m
ENSMUSG00000104388	NA
ENSMUSG00002076451	NA
ENSMUSG00000090101	NA
ENSMUSG00000090086	AI480526
ENSMUSG00000074715	Ccl28
ENSMUSG00000073418	C4b
ENSMUSG00000022010	Tsc22d1
ENSMUSG00000056973	Ces1d
ENSMUSG00000073125	Xlr3b
ENSMUSG00000025488	Cox8b
ENSMUSG00000115420	NA
ENSMUSG00000033855	Ston1
ENSMUSG00000006313	Upk1a
ENSMUSG00000027699	Ect2
ENSMUSG00000065822	Snord15a
ENSMUSG00000068893	Sprr2a2
ENSMUSG00000029822	Osbpl3
ENSMUSG00000121505	Gm4956
ENSMUSG00000026042	Col5a2
ENSMUSG00000039323	Igfbp2
ENSMUSG00000065686	NA
ENSMUSG00000121777	NA
ENSMUSG00000064344	NA
ENSMUSG00000030364	Clec2h
ENSMUSG00000064341	mt-Nd1
ENSMUSG00000120174	4931408D14Rik
ENSMUSG00000093355	Snora26
ENSMUSG00000019944	Rhobtb1
ENSMUSG00000025934	Gsta3
ENSMUSG00000118936	Gm22614
ENSMUSG00000118839	Gm25360
ENSMUSG00000064370	mt-Cytb
ENSMUSG00000020893	Per1
ENSMUSG00000030878	Cdr2
ENSMUSG00000078853	Igtp
ENSMUSG00000010044	Zmynd10
ENSMUSG00000058927	NA
ENSMUSG00000070645	Ren1
ENSMUSG00000119227	Gm25099
ENSMUSG00000089809	A930011G23Rik
ENSMUSG00000026840	Lamc3
ENSMUSG00000043770	NA
ENSMUSG00000058620	Adra2b
ENSMUSG00000041301	Cftr
ENSMUSG00000071532	Gm10335
ENSMUSG00000040740	Slc25a34
ENSMUSG00000025316	Banp
ENSMUSG00000074768	Bhmt
ENSMUSG00000019929	Dcn
ENSMUSG00000090733	Rps27
ENSMUSG00000031765	Mt1
ENSMUSG00000096852	Cyp2d12
ENSMUSG00000058952	Cfi
ENSMUSG00000092819	Gm23639
ENSMUSG00000062997	Rpl35
ENSMUSG00000069310	H3c3
ENSMUSG00000119577	Gm24727
ENSMUSG00000001025	S100a6
ENSMUSG00000065653	Gm23105
ENSMUSG00000002831	Plin4
ENSMUSG00000021025	Nfkbia
ENSMUSG00000030880	Polr3e
ENSMUSG00000079363	Gbp4
ENSMUSG00000091405	H4c14
ENSMUSG00000077254	Gm26079
ENSMUSG00000088185	NA
ENSMUSG00000070368	Prok1
ENSMUSG00000101939	NA
ENSMUSG00000029602	Rasal1
ENSMUSG00000018427	Ypel2
ENSMUSG00000054146	Krt15
ENSMUSG00000107068	Pagr1a
ENSMUSG00000024780	Cdc37l1
ENSMUSG00002076696	NA
ENSMUSG00000032068	Plet1
ENSMUSG00000046794	Ppp1r3b
ENSMUSG00000041974	Spidr
ENSMUSG00000041431	Ccnb1
ENSMUSG00000078650	G6pc1
ENSMUSG00000019577	Pdk4
ENSMUSG00000077709	Snora64
ENSMUSG00000023043	Krt18
ENSMUSG00000049436	Upk1b
ENSMUSG00000057036	Gm7536
ENSMUSG00000121782	Gm9797
ENSMUSG00000078880	Gm14308
ENSMUSG00000026819	Slc25a25
ENSMUSG00000120604	NA
ENSMUSG00000031722	Hp
ENSMUSG00000034875	Nudt19
ENSMUSG00000069305	H4c18
ENSMUSG00000022853	Ehhadh
ENSMUSG00000023073	Slc10a2
ENSMUSG00000119206	Gm22634
ENSMUSG00000027469	Tpx2
ENSMUSG00000038963	Slco4a1
ENSMUSG00000000628	Hk2
ENSMUSG00000075279	Mrpl23-ps1
ENSMUSG00000039196	Orm1
ENSMUSG00000067455	H4c11
ENSMUSG00000052684	Jun
ENSMUSG00000106147	Snord3a
ENSMUSG00000031431	Tsc22d3
ENSMUSG00000088990	Gm22767
ENSMUSG00000078922	Tgtp1
ENSMUSG00000030680	NA
ENSMUSG00000096929	A330023F24Rik
ENSMUSG00000001642	Akr1b1
ENSMUSG00000029414	Kntc1
ENSMUSG00000074179	Gsta5
ENSMUSG00000029778	Adcyap1r1
ENSMUSG00000043122	A530016L24Rik
ENSMUSG00000052837	Junb
ENSMUSG00000042745	Id1
ENSMUSG00000028195	Ccn1
ENSMUSG00000033960	Jcad
ENSMUSG00000118751	Gm22634
ENSMUSG00000056234	Ncoa4
ENSMUSG00000020532	Acaca
ENSMUSG00000022951	Rcan1
ENSMUSG00000083405	NA
ENSMUSG00000026220	Slc16a14
ENSMUSG00000069300	H2bc11
ENSMUSG00000043705	Capn13
ENSMUSG00000119670	Gm22634
ENSMUSG00000009633	G0s2
ENSMUSG00000018830	Myh11
ENSMUSG00000042737	Dpm3
ENSMUSG00000020027	Socs2
ENSMUSG00000018417	Myo1b
ENSMUSG00000062515	Fabp4
ENSMUSG00000005980	Dnase1
ENSMUSG00000064220	H2ac18
ENSMUSG00000120254	NA
ENSMUSG00000065105	Gm26130
ENSMUSG00000050097	Ces2b
ENSMUSG00000079015	Serpina1c
ENSMUSG00000087259	2610035D17Rik
ENSMUSG00000119286	Rnu5g
ENSMUSG00000119476	Rnu1a1
ENSMUSG00000115423	NA
ENSMUSG00000083012	Fam220a
ENSMUSG00000119162	Gm25989
ENSMUSG00000025153	Fasn
ENSMUSG00000068964	NA
ENSMUSG00000109378	NA
ENSMUSG00000056755	Grm7
ENSMUSG00000027331	Knstrn
ENSMUSG00000029925	Tbxas1
ENSMUSG00000100862	Atp6-ps
ENSMUSG00000040693	Slco4c1
ENSMUSG00000048142	Nat8l
ENSMUSG00000000732	Icosl
ENSMUSG00000020163	Uqcr11
ENSMUSG00000006398	Cdc20
ENSMUSG00000003123	Lipe
ENSMUSG00000107928	NA
ENSMUSG00000038943	Prc1
ENSMUSG00000042985	Upk3b
ENSMUSG00000033209	Ttc28
ENSMUSG00000121793	Gm10175
ENSMUSG00000012705	Retn
ENSMUSG00000107689	NA
ENSMUSG00000026837	Col5a1
ENSMUSG00000044405	Adig
ENSMUSG00000020264	Slc36a2
ENSMUSG00000040998	Npnt
ENSMUSG00000067736	Gm10222
ENSMUSG00000021670	Hmgcr
ENSMUSG00000044986	Tst
ENSMUSG00002076161	Rn7sk
ENSMUSG00000042766	Trim46
ENSMUSG00000092837	Rpph1
ENSMUSG00000007097	Atp1a2
ENSMUSG00000028270	Gbp2
ENSMUSG00000048546	Tob2
ENSMUSG00000118864	Gm22634
ENSMUSG00000053279	Aldh1a1
ENSMUSG00000080538	Gm25541
ENSMUSG00000001930	Vwf
ENSMUSG00000109941	Exosc6
ENSMUSG00000030278	Cidec
ENSMUSG00000074264	Amy1
ENSMUSG00000102070	NA
ENSMUSG00000021388	Aspn
ENSMUSG00000074527	Gm14296
ENSMUSG00000089417	Gm22009
ENSMUSG00000077391	Gm24336
ENSMUSG00000061482	H4c4
ENSMUSG00000041293	Adgrf1
ENSMUSG00000022372	Sla
ENSMUSG00000026639	Lamb3
ENSMUSG00000055333	Fat2
ENSMUSG00000001870	Ltbp1
ENSMUSG00000002910	Arrdc2
ENSMUSG00000035828	Pim3
ENSMUSG00000002055	Spag5
ENSMUSG00000032348	Gsta4
ENSMUSG00000040564	Apoc1
ENSMUSG00000032081	Apoc3
ENSMUSG00000022218	Tgm1
ENSMUSG00000065649	Snora74a
ENSMUSG00000089665	Fcor
ENSMUSG00000086782	E130102H24Rik
ENSMUSG00000118734	Gm25313
ENSMUSG00000090877	Hspa1b
ENSMUSG00000023036	Pcdhgc4
ENSMUSG00000036856	Wnt4
ENSMUSG00000047730	Fcgbp
ENSMUSG00000095595	Fam177a
ENSMUSG00000118841	Rn7s2
ENSMUSG00000119662	Gm57565
ENSMUSG00000112478	NA
ENSMUSG00000003541	Ier3
ENSMUSG00000023243	Kcnk5
ENSMUSG00000029478	Ncor2
ENSMUSG00000102982	NA
ENSMUSG00000035186	Ubd
ENSMUSG00000068855	H2ac20
ENSMUSG00000069307	H2bc23
ENSMUSG00000080465	Snord94
ENSMUSG00000048040	Arxes2
ENSMUSG00000054422	Fabp1
ENSMUSG00000025508	Rplp2
ENSMUSG00000091021	NA
ENSMUSG00000015981	Stk32c
ENSMUSG00000065701	NA
ENSMUSG00000055782	Abcd2
ENSMUSG00000069266	H4c2
ENSMUSG00000025491	Ifitm1
ENSMUSG00000101249	NA
ENSMUSG00000046070	Igfals
ENSMUSG00000110631	NA
ENSMUSG00000046574	Prr12
ENSMUSG00000038508	Gdf15
ENSMUSG00000060032	H2aj
ENSMUSG00000067719	NA
ENSMUSG00000116305	Lncppara
ENSMUSG00000089542	Gm25835
ENSMUSG00000004552	Ctse
ENSMUSG00000017724	Etv4
ENSMUSG00000080365	Gm25776
ENSMUSG00000035686	Thrsp
ENSMUSG00000078875	Gm14419
ENSMUSG00000047379	B4gat1
ENSMUSG00000033770	Clcnka
ENSMUSG00000049241	Hcar1
ENSMUSG00000025969	Nrp2
ENSMUSG00000026678	Rgs5
ENSMUSG00000095648	Gm2004
ENSMUSG00000118698	Gm25890
ENSMUSG00000005547	Cyp2a5
ENSMUSG00000096010	H4c16
ENSMUSG00000067870	NA
ENSMUSG00000000440	Pparg
ENSMUSG00000039956	Mrap
ENSMUSG00000059201	Lep
ENSMUSG00000117789	NA
ENSMUSG00000119011	Gm57565
ENSMUSG00000063382	Bcl9l
ENSMUSG00000101111	NA
ENSMUSG00000118859	Gm26316
ENSMUSG00000061100	Retnla
ENSMUSG00000104960	NA
ENSMUSG00000035699	Slc51a
ENSMUSG00000029372	Ppbp
ENSMUSG00000119668	Gm23472
ENSMUSG00000088088	Rmrp
ENSMUSG00000093445	Lrch4
ENSMUSG00000025479	Cyp2e1
ENSMUSG00000060981	H4c8
ENSMUSG00000079362	NA
ENSMUSG00000095675	Ccl21b
ENSMUSG00000060678	H4c3
ENSMUSG00000063954	H2ac19
ENSMUSG00000042807	Hecw2
ENSMUSG00000096596	Ccl21e
ENSMUSG00000120992	D17H6S56E-5
ENSMUSG00000119640	Gm24871
ENSMUSG00002076809	NA
ENSMUSG00000078193	Rpl35rt
ENSMUSG00000064945	Rny3
ENSMUSG00000079419	Ms4a6c
ENSMUSG00000024011	Pi16
ENSMUSG00000064351	mt-Co1
ENSMUSG00000024164	C3
ENSMUSG00000092220	NA
ENSMUSG00000064368	mt-Nd6
ENSMUSG00000057863	Rpl36
ENSMUSG00000034593	Myo5a
ENSMUSG00000048911	Rnf24
ENSMUSG00000019942	Cdk1
ENSMUSG00000100755	Rps23-ps1
ENSMUSG00000050621	Rps27rt
